station_complex_id,cluster
293,1
294,1
295,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
391,1
417,1
421,1
422,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
442,1
443,1
444,1
445,1
446,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
416,1
418,1
419,1
420,1
423,1
603,1
604,1
100,1
141,1
173,1
175,0
176,1
177,1
179,1
180,1
181,1
182,1
183,1
185,1
186,1
187,1
188,1
189,1
240,1
26,0
28,1
283,1
284,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
30,1
31,1
32,1
33,1
334,0
336,1
337,0
339,1
34,1
340,1
341,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
35,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
36,1
37,1
38,1
39,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
620,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
74,1
75,1
76,1
77,1
78,1
79,1
86,1
87,1
88,1
89,1
90,1
91,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
101,0
113,1
114,1
138,1
615,1
617,0
122,1
124,1
125,1
126,1
130,1
131,1
133,1
134,1
135,1
136,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
608,1
120,1
123,1
127,1
137,1
236,1
237,1
238,1
627,1
630,1
636,1
235,1
248,1
249,1
250,1
251,1
252,1
253,1
621,1
626,1
629,1
10,0
13,0
14,0
143,1
144,1
145,1
146,0
147,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
16,0
160,0
162,0
164,0
165,0
167,0
168,0
169,0
17,0
20,0
22,0
223,0
276,0
277,0
296,1
297,1
298,1
299,1
300,0
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
316,0
318,0
319,0
320,0
321,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
333,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
403,0
404,0
436,1
437,1
438,0
439,0
440,0
441,0
471,0
475,0
476,0
477,0
605,0
8,0
9,0
103,0
107,0
118,0
119,0
301,0
405,0
407,0
409,0
413,0
414,0
609,0
610,0
611,0
612,0
614,0
618,0
220,1
222,1
224,0
225,0
228,0
231,0
232,0
601,0
602,0
607,0
613,0
619,0
622,0
623,0
624,0
625,0
628,0
234,0
635,0
1,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
2,1
200,1
202,1
203,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
268,1
269,1
270,1
271,1
272,1
273,0
278,1
279,1
280,1
282,1
3,1
4,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
463,1
464,1
5,1
6,1
80,1
81,1
82,1
83,1
84,1
85,1
108,1
109,1
110,1
111,1
201,1
616,0
129,1
204,1
205,1
206,1
207,1
208,1
209,1
221,1
606,1
254,1
255,1
256,1
257,1
501,1
502,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
522,1
523,1
503,1
504,1
505,1
IBX_10,1
IBX_11,1
IBX_12,1
IBX_19,1
IBX_2,1
IBX_3,1
IBX_5,1
IBX_15,1
IBX_17,1
IBX_18,1
IBX_4,1
IBX_6,1
IBX_8,1
IBX_14,1
IBX_16,1
IBX_9,1
IBX_13,1
IBX_1,1
IBX_7,1
