is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs
1,0.0,0.666666222,7.885705391,10.14780534,2.135530829,1.386294361,1.874486249,2.833213344,32.0,32.0,1.0,3.496507561,0,14.76507853,-0.796269439,2117.555614,-91.98192885,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.582231588,10.499876,1.918119616,0.693147181,1.579477887,2.63905733,32.0,32.0,1.0,3.496507561,0,12.0526356,0.082557675,2800.957905,10.87496128,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,8.543055851,10.33455543,1.33586193,1.386294361,1.207898545,2.564949357,43.0,44.0,2.0,3.784189634,0,5.432426449,-0.468047094,1463.072257,-8.773713467,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,7.899895323,7.645875825,1.131198892,1.098612289,2.70873647,2.708050201,26.75,31.75,4.0,3.32323584,0,7.5,-1.254545455,2.559605573,0.029782945,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,8.560827228,10.31364165,1.404210592,0.693147181,1.731812028,3.135494216,18.0,23.0,5.0,2.944438979,0,14.85570141,0.139682308,1967.517693,2.619675586,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,7.942006808,10.23960258,1.404966359,0.0,1.681251201,3.295836866,38.5,38.5,1.0,3.676300672,0,8.951147925,0.130904076,2079.569186,5.108210244,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,8.18339737,11.15627909,1.782722729,2.397895273,2.179589413,2.944438979,38.5,38.5,1.0,3.676300672,0,14.42355879,-1.16732975,4618.57321,-45.10581237,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0.0,0.666666222,8.280457687,10.3941819,1.731113881,0.0,3.030427314,2.302585093,40.0,40.0,1.0,3.713572067,0,26.30850333,-0.286313095,3287.319461,3.208207626,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.677098709,11.06372788,1.618790637,0.693147181,3.128480689,3.33220451,36.5,43.0,2.0,3.624340933,0,21.86232641,-1.355013579,3787.459129,-18.35271541,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.725832057,11.14794469,1.590859604,2.397895273,2.822046379,2.944438979,26.75,31.75,4.0,3.32323584,0,22.66645092,-1.236796845,6731.532155,-67.42547675,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,7.561641746,9.610055648,1.800557392,1.386294361,1.747506228,2.564949357,38.5,38.5,1.0,3.676300672,0,11.31586432,-0.459097521,332.5686586,-3.120767921,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,5.730099783,10.11305942,1.543992884,1.386294361,1.787716647,2.079441542,23.5,23.5,1.0,3.198673118,0,22.44715507,-1.285708094,623.9792127,1.165634453,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,7.526717561,10.60390822,2.094860579,1.098612289,1.732015185,2.397895273,29.0,29.0,1.0,3.401197382,0,42.73441811,-1.062061093,2507.802267,12.38808648,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,7.809135398,10.67188134,1.525501095,1.945910149,2.148020901,2.772588722,26.75,31.75,4.0,3.32323584,0,19.11367054,0.211116654,3028.616427,-9.408490635,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.541690663,10.72755334,1.724949482,1.609437912,2.760115973,2.079441542,40.5,40.5,3.0,3.725693427,0,22.40318724,-0.119035137,3675.377083,-56.64898315,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,6.791221463,10.67422058,1.986497986,1.386294361,1.771147258,2.48490665,30.5,30.5,1.0,3.449987546,0,27.37289716,-1.340317709,3099.487162,6.542829486,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.451907725,10.80689566,1.489971858,1.609437912,1.785531166,2.890371758,43.0,44.0,2.0,3.784189634,0,13.52176709,-0.525049557,3783.177993,284.2469832,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,8.152198016,11.22744098,1.821627559,2.197224577,2.219911571,2.63905733,18.0,23.0,5.0,2.944438979,0,14.66222614,-0.284088769,5158.906551,135.5392558,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.0,0.666666222,6.786716951,10.64958291,1.825419029,1.098612289,1.585717029,2.48490665,19.0,23.0,10.0,2.995732274,0,14.08825275,-1.795654588,3980.040567,29.22315444,0,0,0,0,0,0,0,0,0,0,1,0,0
