station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs,log_bus_routes_access_network,pct_hh_no_vehicle_access_network,pct_car_truck_van_access_network,log_citibike_0p5mi,subway_lines_serving_station,cluster
150,155 St (C),1697.622762,7.437573062,0,30.67,0.666666222,7.605890001,11.41093704,1.932899496,3.663561646,2.272845782,21.5,21.5,1,3.113515309,0,18.92468179,-1.559091117,7866.108751,311.5299687,0,0,0,0,0,0,1,0,0,0,1,0,1,2.890371758,9.601118696,6.683330156,3.295836866,0,0
185,Liberty Av (C),1682.952165,7.428898789,0,30.33,0.49999975,7.278628942,10.31834178,2.21688217,1.791759469,1.47653196,41.5,41.5,1,3.749504076,0,36.03762011,-0.592808032,1838.123973,54.72255755,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,24.87143622,21.43774735,1.386294361,0,1
4,"Broadway (N,W)",9029.28447,9.108339149,0,46,0.666666222,8.575650761,10.94681614,1.803719209,2.63905733,1.94276322,18,18.25,2,2.944438979,0,7.930452665,-0.713282239,5338.977141,89.97694834,0,0,0,0,0,0,0,1,0,0,1,0,1,2.564949357,13.45157835,11.28325773,3.218875825,0,0
374,E 143 St-St Mary's St (6),930.4300919,6.836721138,0,46,0.999999,7.944137491,10.47522952,2.154512099,0,2.22265413,25.5,25.5,1,3.277144733,0,46.1,-0.51958042,2140.681773,58.48908024,1,0,0,1,0,0,0,0,0,1,0,0,1,2.564949357,17.74016996,13.72769266,2.708050201,0,0
381,Kingsbridge Rd (4),5749.886551,8.657109305,0,42.33,0.666666222,8.329899293,11.46679775,1.963344809,2.302585093,2.130627904,37.75,37.75,1,3.657130756,0,36.32551531,0.284166676,4519.505445,-138.2777243,1,0,0,1,0,0,0,0,0,1,0,0,1,3.044522438,17.22529504,14.6191434,3.135494216,0,0
396,96 St (6),13185.80648,9.4869721,0,57.67,0.999999,9.476083537,11.50389481,1.811701779,3.931825633,2.759857947,11,11,2,2.48490665,0,8.551151632,0.137853316,10375.11441,-79.31502569,0,0,0,0,0,0,1,0,0,0,1,0,1,3.295836866,7.253365478,5.717805002,2.995732274,0,0
208,Beach 25 St (A),1080.760402,6.986344995,0,20.67,0.39999984,8.050065423,10.35462686,1.573010078,0.693147181,1.992671718,71.5,71.5,1,4.283586562,0,19.31193977,0.247485529,2152.076947,110.971808,0,0,0,0,0,0,0,1,0,0,1,0,1,1.791759469,48.06222602,43.51165768,0,2,1
303,157 St (1),7076.841618,8.864724284,0,46.67,0.666666222,7.559559496,11.29011936,1.817454055,3.465735903,2.426965702,23,23,1,3.17805383,0,23.49393343,-0.597151389,8460.751108,-54.60017178,0,0,0,0,0,0,1,0,0,0,1,0,1,2.564949357,9.093944161,6.452332466,3.135494216,0,0
114,Central Av (M),2828.179971,7.947742186,0,37,0.666666222,7.948738455,11.03802989,1.935594414,1.791759469,2.026163391,27,27,1,3.33220451,0,15.17152953,-1.313495012,4539.496815,-37.40257605,0,0,0,0,0,1,0,0,0,0,1,0,1,2.833213344,14.63468573,11.58110799,3.258096538,1,0
189,Grant Av (A),3866.183358,8.260281706,0,43.33,0.999999,7.290292882,10.79607968,1.567604977,0.693147181,1.758671225,41.5,41.5,1,3.749504076,0,10.66277032,-2.416884533,3155.850744,4.848196271,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,29.0562842,24.244857,0,0,1
350,Pennsylvania Av (3),2721.089381,7.909155019,0,39.67,0.666666222,7.567345676,10.64354217,1.946761073,1.098612289,1.690896278,40,44.25,4,3.713572067,0,26.94174444,-1.374648825,4499.751602,-2.580554653,0,0,0,0,0,1,0,0,0,0,1,0,1,2.833213344,25.50593288,21.21079121,0,0,1
60,Fort Hamilton Pkwy (D),2930.160256,7.983153616,0,34.67,0.49999975,8.889032572,11.03275836,1.948239489,1.386294361,3.207375819,36,36,1,3.610917913,0,29.86753598,-0.957864092,6483.493451,-48.75190945,0,0,0,0,0,1,0,0,0,0,1,0,1,2.48490665,20.7763424,13.50765721,1.609437912,0,0
305,137 St-City College (1),8579.733551,9.057274684,0,50.67,0.999999,8.000014094,11.07734645,2.011932214,3.36729583,2.221856095,19.5,19.5,1,3.020424886,0,27.78206612,-0.424230113,9476.910085,-3.827109363,0,0,0,0,0,0,1,0,0,0,1,0,1,2.944438979,7.390106561,5.772072763,3.044522438,0,0
355,"Winthrop St (2,5)",5575.986393,8.626403837,0,57,0.999999,9.412627941,11.02329039,1.783462724,2.397895273,2.12177812,35.5,36.25,2,3.597312261,0,18.63344207,-1.056348368,2941.802982,-56.77412985,0,0,0,0,0,1,0,0,0,0,1,0,1,2.48490665,17.17390208,15.01748788,3.135494216,0,0
56,Ocean Pkwy (Q),2278.678882,7.731789871,0,38.33,0.666666222,8.726805608,10.55307462,1.786199234,1.791759469,2.777133633,48,48,1,3.891820298,0,28.99451724,-0.399151358,4643.340895,124.6335506,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,23.7662012,20.75514849,0,0,1
113,Knickerbocker Av (M),2889.460752,7.969171198,0,36.67,0.666666222,8.124150603,11.11924564,1.81798493,2.079441542,2.163722684,29,29,1,3.401197382,0,16.6398517,-2.017332512,4094.556475,-98.69099922,0,0,0,0,0,1,0,0,0,0,1,0,1,2.890371758,14.87320448,12.50455341,3.17805383,1,0
289,Bedford-Nostrand Avs (G),6261.654028,8.74235934,0,36.33,0.666666222,8.248790734,11.09534729,1.935776819,2.197224577,2.455783025,14,14,1,2.708050201,0,21.44610721,-0.180412329,4937.879571,85.81503419,0,0,0,0,0,1,0,0,0,0,1,0,1,2.708050201,13.35194898,11.63867596,3.044522438,0,0
84,85 St-Forest Pkwy (J),2705.137881,7.903277761,0,34.67,0.666666222,6.971668605,10.55223865,1.303033606,0.693147181,1.607345257,36.75,36.75,1,3.630985476,0,7.012759521,-0.67523344,4028.848021,-3.148088015,0,0,0,0,0,0,0,1,0,0,1,0,1,2.564949357,32.06035899,27.01307734,0,0,1
220,"155 St (B,D)",1884.604197,7.542003577,0,42.67,0.666666222,6.651571874,11.23508811,2.007013355,3.526360525,1.859143648,25,25,1,3.258096538,0,30.36343184,-0.798639018,6142.95665,-0.961046832,0,0,0,0,0,0,1,0,0,0,1,0,1,2.833213344,10.75157423,8.174317009,3.218875825,2,4
388,167 St (4),5606.061139,8.631782,0,43.33,0.666666222,8.285261134,11.5275776,2.047639134,2.079441542,2.283412816,26.75,26.75,1,3.32323584,0,30.36343184,-0.798639018,6320.73834,-18.39330532,1,0,0,1,0,0,0,0,0,1,0,0,1,2.833213344,15.67202363,13.06958877,3.258096538,0,0
452,90 St-Elmhurst Av (7),14200.0257,9.561069473,0,76,0.999999,8.494333897,11.5183905,1.764459101,1.609437912,2.238011696,26,26,1,3.295836866,0,17.46247552,-0.726141604,8071.375148,812.1617991,0,0,0,0,0,0,0,1,0,0,1,0,1,2.833213344,20.68676546,14.90860319,3.17805383,0,0
131,Bushwick Av-Aberdeen St (L),1759.45785,7.473329196,0,61.67,0.999999,6.736966958,10.31450389,1.940065874,1.386294361,1.53278865,25,25,1,3.258096538,0,12.1388714,-1.362291189,1738.959381,-6.617807744,0,0,0,0,0,1,0,0,0,0,1,0,1,2.397895273,20.47535686,18.24994518,2.833213344,2,4
91,"Alabama Av (J,Z)",1300.866715,7.171554448,0,36,0.666666222,7.303170051,10.09765533,2.084233802,1.791759469,1.416677725,26,26.38,2,3.295836866,0,29.47801393,-0.243551959,1319.741055,8.036892322,0,0,0,0,0,1,0,0,0,0,1,0,1,2.302585093,24.04471948,21.21751614,1.791759469,0,1
297,215 St (1),1625.478834,7.394172733,0,46.33,0.999999,7.340186835,10.53065517,2.047247853,2.772588722,2.457203617,33,33,1,3.526360525,0,8.047234247,-1.332213627,2888.567517,-66.93206076,0,0,0,0,0,0,1,0,0,0,1,0,1,2.564949357,13.79923143,10.36677958,2.63905733,0,0
255,169 St (F),5545.630382,8.620945884,0,39.67,0.79999936,8.804024902,10.69808511,1.877374708,1.791759469,2.030605206,36,36,1,3.610917913,0,19.43092149,-1.573902103,4635.97663,-29.27897091,0,0,0,0,0,0,0,1,0,0,1,0,1,3.951243719,36.17227321,32.17856145,0,4,4
62,55 St (D),1395.530842,7.24174647,0,35,0.49999975,9.082393358,10.93791681,1.896922809,1.098612289,3.364953576,39,39,1,3.688879454,0,35.63320977,-0.501756137,4785.14784,90.67561269,0,0,0,0,0,1,0,0,0,0,1,0,1,2.197224577,25.24628918,17.15650086,0,0,1
217,"170 St (B,D)",3495.997158,8.159659924,0,42.33,0.666666222,8.236420527,11.51566172,2.081559651,0.693147181,2.370644323,31,31,1,3.465735903,0,15.77668782,-0.772409006,8295.510616,-24.10165263,1,0,0,0,1,0,0,0,0,0,0,0,1,2.944438979,17.56979345,15.35226851,3.218875825,2,4
358,"Newkirk Av-Little Haiti (2,5)",4822.976234,8.481353812,0,56.33,0.999999,7.669961995,11.0050455,1.482675414,1.609437912,1.676901977,41,42,2,3.737669618,0,13.85128981,-0.225468282,4572.777782,37.8363028,0,0,0,0,0,1,0,0,0,0,1,0,1,2.833213344,23.70056041,20.5111594,1.791759469,0,1
372,Longwood Av (6),2259.832305,7.723488301,0,45.33,0.999999,8.783549477,10.77760121,2.186467943,2.302585093,2.453037146,28,28,1,3.36729583,0,46.1,-0.51958042,3922.118078,-71.2368438,1,0,0,1,0,0,0,0,0,1,0,0,1,2.63905733,21.36132509,17.42158272,2.833213344,0,0
